荣国府, 起点
有凤来仪, 此处不得越过越者罚回本位伍点速行准越过| 此处不得越过，越者罚回本位，伍点速行准越过
元春, 请安随意呼点应者方行不应者罚| 都要请安，都要随意呼点应者方行不应者罚
稻香村, 
李纨, 问好
贾兰, 问好
李纹, 问好
李琦, 问好
蓼风轩, 
惜春, 问好妙玉停一轮| 都要问好，妙玉还要停一轮
侍书, 问好
暖香坞, 停一轮
栊翠庵, 拈香妙玉受贺遇五方行不遇者罚| 都要拈香，妙玉还要受贺，妙玉还要遇五方行不遇者罚
女尼, 布施妙玉免| 除妙玉外其他人都要布施
大主山, 拈香至此等黛玉越过此山或来到此山或已入未出此山方准游城隍庙至七十二司出顺路前行如黛玉早过此山后到者罚回小终南游大荒山再至者则免如不愿罚回准按本资钱数捐免| 拈香，至此等黛玉越过此山，或来到此山，或已入未出此山，方准游城隍庙，至七十二司出，顺路前行，如黛玉早过此山，后到者罚回小终南，游大荒山，再至者则免，如不愿罚回，准按本资钱数捐免
城隍庙, 拈香
林如海, 请安黛玉受贺随意呼点应者方行不应者罚| 都要请安，黛玉还要受贺，黛玉还要随意呼点应者方行不应者罚
贾夫人, 请安黛玉受贺停一轮| 都要请安，黛玉还要受贺，黛玉还要停一轮
贾珠, 请安妙玉香菱免| 除妙玉、香菱外其他人都要请安
冯渊, 宝玉问好香菱加倍受罚余者退回本位| 宝玉要问好，香菱要加倍受罚，除宝玉、香菱外其他人要退回本位
茶棚, 捐资
鬼卒, 退回本位
醋缸, 凤姐加倍受罚随意呼点应者方行不应者罚| 凤姐要加倍受罚，凤姐还要随意呼点应者方行不应者罚
鬼卒, 退回本位
天道轮回, 
鬼卒, 退回本位
十八地狱, 捐资
鬼卒, 退回本位
七十二司, 捐资
鬼卒, 退回本位
潇湘馆, 黛玉受贺遇三方行不遇者罚| 黛玉要受贺，黛玉还要遇三方行不遇者罚
紫鹃, 问好黛玉免| 除黛玉外其他人要问好
雪雁, 问好黛玉免| 除黛玉外其他人要问好
蘅芜苑, 宝钗受贺遇二方行不遇者罚| 宝钗要受贺，宝钗还要遇二方行不遇者罚
宝琴, 问好
史湘云, 问好停一轮
莺儿, 问好宝钗免| 除宝钗外其他人要问好
翠缕, 问好
怡红院, 宝玉受贺遇幺方行不遇者罚| 宝玉要受贺，宝玉还要遇幺方行不遇者罚
袭人, 问好宝玉停一轮| 都要问好，宝玉还要停一轮
麝月, 问好
晴雯, 问好宝玉停一轮| 都要问好，宝玉还要停一轮
秋雯, 问好
碧痕, 问好
缀锦阁, 
迎春, 问好
司棋, 问好
秋爽斋, 
探春, 问好停一轮
入画, 问好
紫菱洲, 照点速行
蓬莱仙境, 举贺
散花寺, 拈香
港洞, 至此如牌楼有人暂且停掷待其离去再掷
迷津, 至此除名前功尽弃
牌楼, 无人准来者飞越有人必待其行后方可再越再至至者遇四方行不遇者罚| 无人，准来者飞越，有人，必待其行后方可再越，再至，至者遇四方行不遇者罚
薄司命, 遇二方行不遇者罚
痴情司, 遇幺方行不遇者罚
结怨司, 遇五方行不遇者罚
朝啼司, 遇三方行不遇者罚
暮哭司, 遇三方行不遇者罚
春感司, 停一轮
秋悲司, 停一轮
宫门, 
绛珠宫, 举贺
赤霞宫, 举贺
红楼梦太虚幻境图, 终点
